drug_name,moa,avg_delta_s_prime,gene_count,dbscan_cluster_label
PP-2,['src inhibitor'],0.9820116521891086,807,-1
acipimox,['cholesterol inhibitor'],0.9852286967813637,897,-1
AZD2014,['mTOR inhibitor'],0.9880593379368693,925,20
cobicistat,['cytochrome P450 inhibitor'],0.9916724422995828,877,-1
GW-501516,['PPAR receptor agonist'],0.9988202229448195,590,-1
WZ-4002,['EGFR inhibitor'],1.0044174647561486,869,9
benzocaine,['sodium channel blocker'],1.0060043789633097,681,7
pralatrexate,['dihydrofolate reductase inhibitor'],1.0086383944820199,925,-1
lurasidone,"['dopamine receptor antagonist', ' serotonin receptor antagonist']",1.0150355979930434,845,-1
afatinib,['EGFR inhibitor'],1.0151665297235164,922,9
WHI-P154,['JAK inhibitor'],1.0302272219027155,812,-1
Ro-04-5595,['None'],1.0602973921587677,809,1
CPP,['glutamate receptor antagonist'],1.0696186445820985,884,12
indisulam,['CDK inhibitor'],1.0792282996679392,823,16
posaconazole,['sterol demethylase inhibitor'],1.0827224050616475,874,-1
bromosporine,['bromodomain inhibitor'],1.083250830941252,800,-1
taltirelin,['thyrotropin releasing hormone receptor agonist'],1.0878238328297076,803,-1
BIBX-1382,['EGFR inhibitor'],1.0926608840999148,759,9
fulvestrant,['estrogen receptor antagonist'],1.1016262483063206,674,-1
bendamustine,['DNA inhibitor'],1.128953067677074,874,15
tioxolone,['carbonic anhydrase inhibitor'],1.130700950166602,895,-1
pheniramine,['histamine receptor antagonist'],1.1336054410789853,821,0
midodrine,['adrenergic receptor agonist'],1.1417990854196878,812,2
lenvatinib,"['FGFR inhibitor', ' KIT inhibitor', ' PDGFR tyrosine kinase receptor inhibitor', ' VEGFR inhibitor']",1.1441629246874332,913,-1
palbociclib,['CDK inhibitor'],1.1504802090878947,925,16
cariporide,['sodium/hydrogen exchanger inhibitor'],1.1584313462987703,889,-1
SKI-II,['sphingosine kinase inhibitor'],1.1715001853428473,861,-1
tiagabine,['GABA uptake inhibitor'],1.1737883717006488,663,-1
dacarbazine,['DNA alkylating agent'],1.1764708820268102,860,-1
clotrimazole,"['cytochrome P450 inhibitor', ' imidazoline receptor ligand']",1.1926784882223405,840,-1
norepinephrine,['adrenergic receptor agonist'],1.2016000996917449,896,2
alectinib,['ALK tyrosine kinase receptor inhibitor'],1.2118991546822433,923,-1
olaparib,['PARP inhibitor'],1.2243483490745328,925,-1
IEM1754,['glutamate receptor antagonist'],1.2312708596134838,857,12
bisacodyl,['laxative'],1.232906623735348,834,-1
eprosartan,['angiotensin receptor antagonist'],1.2607161763892158,779,-1
CL-218872,['benzodiazepine receptor agonist'],1.2827453689549846,877,14
UH-232-(+),['dopamine receptor antagonist'],1.298355532976931,828,13
cyclophosphamide,['DNA alkylating agent'],1.300032044254605,713,-1
oxazepam,['GABA benzodiazepine site receptor agonist'],1.305549624574968,788,-1
bexarotene,['retinoid receptor agonist'],1.3091630804470735,909,-1
uric-acid,['None'],1.31282918826326,835,1
niraparib,['PARP inhibitor'],1.3329363556259592,876,-1
capsaicin,['TRPV agonist'],1.3677964003520335,684,-1
SMI-4a,['Pim kinase inhibitor'],1.4100964676739132,840,-1
I-BET151,['bromodomain inhibitor'],1.4140659200230494,838,-1
levonorgestrel,"['estrogen receptor agonist', ' glucocorticoid receptor antagonist', ' progesterone receptor agonist', ' progesterone receptor antagonist']",1.4978834161185934,706,-1
avanafil,['phosphodiesterase inhibitor'],1.5394809000242775,818,-1
clobetasol-propionate,['glucocorticoid receptor agonist'],1.5421652473594185,750,3
prednisolone-tebutate,['anti-inflammatory agent'],1.5584191460790464,622,-1
bucladesine,"['adenosine receptor agonist', ' cAMP stimulant']",1.7519239366962813,511,-1
ubenimex,['leukotriene synthesis inhibitor'],1.8071955301023805,608,-1
cobimetinib,['MEK inhibitor'],1.900893664556498,897,4
lovastatin,['HMGCR inhibitor'],1.9019240665960635,483,-1
clocortolone-pivalate,['steroid'],2.8098979614334163,516,-1
