drug_name,moa,avg_delta_s_prime,gene_count,dbscan_cluster_label
oxaliplatin,['DNA inhibitor'],0.3655601085685163,871,15
RI-1,['None'],0.3667083373902062,777,1
tyrphostin-AG-1296,['FLT3 inhibitor'],0.36759671321708903,886,-1
sulconazole,['sterol demethylase inhibitor'],0.36815255344528974,887,-1
adaprev,['TGF beta receptor inhibitor'],0.36984492267424013,924,-1
azithromycin,['bacterial 50S ribosomal subunit inhibitor'],0.3716920861870173,815,-1
tazemetostat,['histone lysine methyltransferase inhibitor'],0.37273315926871736,835,-1
sarafloxacin,['bacterial DNA gyrase inhibitor'],0.3730380805956944,707,-1
icotinib,['EGFR inhibitor'],0.37399287744319465,925,9
istradefylline,['adenosine receptor antagonist'],0.37956980100942495,634,-1
FPH1-(BRD-6125),['hepatocyte function enhancer'],0.38377414533353493,712,-1
MLN-8054,['Aurora kinase inhibitor'],0.38677648980281465,681,21
PD-407824,['PKC inhibitor'],0.3900841579558247,802,-1
ku-0063794,['mTOR inhibitor'],0.39147651250745635,922,20
azacitidine,['DNA methyltransferase inhibitor'],0.3935269975543621,917,-1
epiandrosterone,['steroid'],0.3940875731018698,799,-1
dequalinium,['PKC inhibitor'],0.39458220783390796,908,-1
finafloxacin,['bacterial DNA gyrase inhibitor'],0.3956194848790099,850,-1
isoflupredone-acetate,['None'],0.3960672852168859,734,1
2'-MeCCPA,['adenosine receptor agonist'],0.3967931322975683,760,-1
salinomycin,['None'],0.3969045763484488,843,1
tyloxapol,['NFkB pathway inhibitor'],0.39843703556664417,613,-1
GSK2110183,['AKT inhibitor'],0.39888582928272104,832,-1
diaveridine,['dihydrofolate reductase inhibitor'],0.3995425212891935,883,-1
nintedanib,"['FGFR inhibitor', ' PDGFR tyrosine kinase receptor inhibitor', ' VEGFR inhibitor']",0.4003192102329206,905,-1
omeprazole,['ATPase inhibitor'],0.4015858510167259,720,-1
nicotine,['acetylcholine receptor agonist'],0.4020975558891847,797,-1
ercalcitriol,['vitamin D receptor agonist'],0.40285991655145625,826,-1
panobinostat,['HDAC inhibitor'],0.40348892258862046,925,11
butamben,['sodium channel blocker'],0.4039043389468705,801,7
PF-04457845,['FAAH inhibitor'],0.40567634763771654,925,-1
AVL-292,"[""Bruton's tyrosine kinase (BTK) inhibitor""]",0.40802381987013536,870,-1
semaxanib,['VEGFR inhibitor'],0.410511649349586,905,-1
efonidipine-monoethanolate,"['L-type calcium channel blocker', ' T-type calcium channel blocker']",0.412950732437068,906,-1
clebopride,['dopamine receptor antagonist'],0.4137938971565188,710,13
se-methylselenocysteine,['None'],0.4147228486260229,866,1
chlorambucil,['DNA inhibitor'],0.41551051478999695,818,15
nexturastat-a,['HDAC inhibitor'],0.416483776931857,836,11
amfenac,['cyclooxygenase inhibitor'],0.4168126359328512,880,10
josamycin,['bacterial 50S ribosomal subunit inhibitor'],0.41776555334692217,850,-1
PF-573228,['focal adhesion kinase inhibitor'],0.4192942711840564,902,-1
ribitol,['None'],0.42003316618695885,846,1
radezolid,"['bacterial 30S ribosomal subunit inhibitor', ' bacterial 50S ribosomal subunit inhibitor']",0.4200677152543017,833,-1
papaverine,['phosphodiesterase inhibitor'],0.42074214196173054,808,-1
mifepristone,"['glucocorticoid receptor antagonist', ' progesterone receptor antagonist']",0.42346071319481315,901,-1
cinromide,['None'],0.42435245665632265,755,1
UNBS-5162,['CC chemokine receptor antagonist'],0.4246412029834283,832,-1
SB-366791,['TRPV antagonist'],0.42641156878479114,899,-1
AP1903,['None'],0.43145608418587883,718,1
BMS-626529,['HIV attachment inhibitor'],0.43262802925709154,800,-1
gimeracil,['dihydropyrimidine dehydrogenase inhibitor'],0.4327677289487246,768,-1
acetazolamide,['carbonic anhydrase inhibitor'],0.4327821186372012,799,-1
dehydrocholate-acid,['None'],0.4359763473720306,818,1
pentamidine,['anti-pneumocystis agent'],0.43600016090519716,808,-1
thioproperazine,['dopamine receptor antagonist'],0.4365409016111521,295,13
talazoparib,['PARP inhibitor'],0.4440896173282327,925,-1
methoxyflurane,['membrane permeability inhibitor'],0.44480733741400125,903,-1
cinalukast,['leukotriene receptor antagonist'],0.44875742665381585,832,-1
SB-657510,['urotensin receptor antagonist'],0.44908130826671244,853,-1
D-Serine,['glutamate receptor agonist'],0.4496548510685035,665,-1
8-hydroxy-PIPAT,['dopamine receptor ligand'],0.4501886343840637,878,-1
MK-0812,['CC chemokine receptor antagonist'],0.4511191095479495,825,-1
hyoscyamine,['acetylcholine receptor antagonist'],0.45113665227067984,905,-1
niclosamide,"['DNA replication inhibitor', ' STAT inhibitor']",0.45392823034974894,902,-1
tranilast,['angiogenesis inhibitor'],0.4582478018032278,912,-1
ramatroban,['prostanoid receptor antagonist'],0.45879731259704676,795,-1
mozavaptan,['vasopressin receptor antagonist'],0.46040536824147155,856,-1
LY2784544,['JAK inhibitor'],0.46189403388540246,895,-1
GW-405833,['cannabinoid receptor agonist'],0.46276767063928714,895,-1
CS-110266,['dopamine receptor agonist'],0.462799644919769,821,-1
SB-218795,['tachykinin antagonist'],0.4644826662412997,779,-1
SB-205384,['GABA receptor modulator'],0.4655924291402382,912,-1
homoharringtonine,['protein synthesis inhibitor'],0.4660982114837344,912,5
dianhydrogalactitol,['DNA alkylating agent'],0.46855871835922386,913,-1
mercaptopurine,"['immunosuppressant', ' protein synthesis inhibitor', ' purine antagonist']",0.47103070448277307,852,-1
anagrelide,['phosphodiesterase inhibitor'],0.4718312497642011,892,-1
doxycycline,['metalloproteinase inhibitor'],0.47296847417982707,925,-1
lucitanib,"['FGFR inhibitor', ' VEGFR inhibitor']",0.47326461705528516,877,-1
tiotidine,['histamine receptor antagonist'],0.47597426024255346,884,0
AZD5363,['AKT inhibitor'],0.4764375764265772,881,-1
PI-828,['PI3K inhibitor'],0.4766532693191623,791,8
norgestrel,['progesterone receptor agonist'],0.4773658623721082,801,-1
methocarbamol,['muscle relaxant'],0.47845436870579655,654,-1
genipin,['choleretic agent'],0.47853716564526233,912,-1
selumetinib,['MEK inhibitor'],0.4798932872935442,925,4
narlaprevir,['HCV inhibitor'],0.4819232443537448,313,-1
TAME,['None'],0.48247188080124503,806,1
betamethasone,['glucocorticoid receptor agonist'],0.4827469749522062,786,3
LCL-161,['XIAP inhibitor'],0.491991002139828,816,-1
CGS-20625,"['benzodiazepine receptor agonist', ' GABA benzodiazepine site receptor partial agonist']",0.4923919936682886,847,-1
Ro-90-7501,['None'],0.49755991200020927,882,1
AZD8931,['EGFR inhibitor'],0.4981028340740817,922,9
decitabine,['DNA methyltransferase inhibitor'],0.49815369641203217,904,-1
cycloheximide,['protein synthesis inhibitor'],0.4994582720915437,858,5
methscopolamine,['acetylcholine receptor antagonist'],0.5004042413251434,818,-1
hydrocortisone,['glucocorticoid receptor agonist'],0.5021700814269131,128,3
GSK650394,['serum/glucocorticoid regulated kinase inhibitor'],0.502768863895214,918,-1
ambazone,['DNA damage inducer'],0.5030430707362468,799,-1
tyrphostin-AG-99,['tyrosine kinase inhibitor'],0.5051945135338457,884,-1
loxistatin-acid,['cysteine peptidase inhibitor'],0.5053997101946387,818,-1
skepinone-l,['p38 MAPK inhibitor'],0.5105957920645141,874,-1
acetylsalicylsalicylic-acid,['cyclooxygenase inhibitor'],0.5109419223042236,875,10
oleoylethanolamide,"['cannabinoid receptor agonist', ' glucose dependent insulinotropic receptor agonist', ' potassium channel blocker', ' PPAR receptor agonist']",0.5115591709729814,787,-1
dicycloverine,['acetylcholine receptor antagonist'],0.514899363848335,800,-1
resiquimod,['toll-like receptor agonist'],0.5171154578783402,915,-1
navitoclax,['BCL inhibitor'],0.5188083806697069,925,-1
JZL-184,['monoacylglucerol lipase inhibitor'],0.5204925555155864,859,-1
ecamsule-triethanolamine,['None'],0.521951243429511,797,1
tetrahydrouridine,['cytidine deaminase inhibitor'],0.5232830964854598,900,-1
isopropyl-myristate,['None'],0.523345013446242,882,1
FK-866,['niacinamide phosphoribosyltransferase inhibitor'],0.5246202142743757,925,-1
tanaproget,['progesterone receptor agonist'],0.5247188634869697,873,-1
FK-888,['tachykinin antagonist'],0.5249687631868486,780,-1
RKI-1447,['rho associated kinase inhibitor'],0.5267856562399358,900,-1
pyritinol,['None'],0.5307521631399239,515,1
uracil,['None'],0.535206568722022,825,1
caffeic-acid-phenethyl-ester,['HIV integrase inhibitor'],0.535677133072667,843,-1
nomegestrol-acetate,['progesterone receptor agonist'],0.5419556743369669,664,-1
axitinib,"['PDGFR tyrosine kinase receptor inhibitor', ' VEGFR inhibitor']",0.5419700103222991,921,-1
abemaciclib,['CDK inhibitor'],0.5437317910103902,925,16
methiazole,['anthelmintic agent'],0.5452181002625234,849,-1
MK-2461,"['FGFR inhibitor', ' VEGFR inhibitor']",0.5457413004741867,900,-1
AMG458,['MET inhibitor'],0.5479117684490986,882,-1
tipranavir,['HIV protease inhibitor'],0.5484483643417618,706,-1
ciclesonide,['glucocorticoid receptor agonist'],0.5507000770751054,786,3
paricalcitol,['vitamin D receptor agonist'],0.5508321603409996,654,-1
cyromazine,['None'],0.5508627729248461,778,1
flufenamic-acid,['chloride channel blocker'],0.5551494650297479,809,-1
TWS-119,['glycogen synthase kinase inhibitor'],0.55700224414166,847,-1
naproxen,['cyclooxygenase inhibitor'],0.5624611497017074,577,10
adapalene,['retinoid receptor agonist'],0.5660589060776956,834,-1
Y-27632,['rho associated kinase inhibitor'],0.5714172476801939,732,-1
pindolol,['adrenergic receptor antagonist'],0.5719649945141062,787,18
cytochalasin-b,['microtubule inhibitor'],0.5750582948221717,925,-1
dihydroartemisinin,['antimalarial agent'],0.5763205703774973,730,-1
